time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,0.010968837722731413,-1.1736386142840534e-07,10.001095416693454,0.00010078687364245553,5.88556031498133,0.0,0.04120304657987589,-1.1127511750639276e-05,-0.5550531765843171,0.004843778910671726,-8.60383640036108,0.0,800.3159661904676,0.06487698776694827,799.7568929248157,799.9774447157923,6.815641454368448
0.12000000000000001,0.023423546559088883,-1.5658637711407643e-07,9.963994665183643,0.0005030829296925887,1.0570931422468863,0.0,0.5244293123155728,5.454751563881064e-05,-0.7948646195620852,0.010188944463812574,-15.679886046191507,0.0,800.0142247664675,0.0329102851563766,799.8486419952106,800.0919659693283,6.815689201521235
0.18,0.019230876482659233,-4.140940792637543e-06,9.894102340087398,0.0011154390707019957,3.7609896891888823,0.0,-0.2730141122461542,-0.0006279398800135554,-2.103030517764861,0.010241638122919635,-20.378879552681948,0.0,799.8805307807847,0.04208778655935123,799.8486079745453,799.8509118369263,6.815886047287794
0.23999999999999996,0.03571337758050277,-9.006411385364385e-05,9.710668478768582,0.0016499546025272593,3.6890755079028725,0.0,0.8578875288622796,-0.002305585584652681,-3.97793307082675,0.006099319320574334,-23.036070251855413,0.0,799.8851331737037,0.04945046102134761,800.0740588860008,799.8853026140264,6.8164521822350395
0.3,0.10523795849007903,-0.000306834111077184,9.408700280898277,0.0019015649750384611,2.595364024042304,0.0,1.218340546965474,-0.005069175682798136,-6.132095773844477,7.944722597719731e-05,-24.396900313679353,0.0,800.0192989023288,-0.039421053800061966,800.4962119551998,800.2221510692816,6.817273236694124
0.36000000000000004,0.14445985208950193,-0.000676712210255963,8.988556526587963,0.0018531528040659495,1.1918719362580328,0.0,-0.103914429536753,-0.006758063809640045,-7.609104442315324,-0.002641644811603329,-25.0576273637808,0.0,800.150057483468,-0.3906085822066357,800.3480621837008,800.2242358454371,6.818569659939871
0.4200000000000001,0.09932155782696728,-0.0010335525042083152,8.541367192960202,0.0015135013786693463,5.98170950866632,0.0,-1.1140957193855583,-0.004786936542512379,-7.078594494128181,-0.012510563301107894,-25.375258491467296,0.0,800.533364394282,-0.4271069142631181,800.3209742625095,799.8717210790795,6.820398338360606
0.48000000000000015,0.05753363295826394,-0.0012663397948902162,8.137428567400475,0.000622712645109047,4.459539130789755,0.0,-0.01665762673649085,-0.00337727760447964,-6.614558772993711,-0.019982948199900118,-25.523190610704212,0.0,800.5589678116199,-0.5080251580132251,800.3450434420911,800.0047987624848,6.8222377531914615
0.5400000000000001,0.09828760279085724,-0.0014744884396386676,7.700387318085652,6.282592280470574,2.927360953977878,0.0,1.1035159521246625,-0.0034480405220951777,-8.202805425529036,-0.020826949967765893,-25.592511999889798,0.0,800.6205395529653,-0.5976760695476021,800.0972961559311,800.0590938059077,6.823820797483839
0.6000000000000002,0.14354025861820752,-0.0016505262567421998,7.150420151845008,6.281393869813321,1.3913003052615025,0.0,0.1243075703235289,-0.002411216276560775,-9.939903690570702,-0.01831889624466426,-25.619835746712283,0.0,800.3572988971224,-0.575351862263077,800.087491409011,800.2018960769954,6.825620530757158
0.6600000000000003,0.1074397377798595,-0.0018330496339412162,6.553698530085921,6.280386543614187,6.136993606166593,0.0,-1.0705542990115806,-0.00436981792028465,-9.682561621531052,-0.013892253713601473,-25.634273476533313,0.0,800.465817397089,-0.26658661850492194,800.0639828665375,800.2652902640615,6.827953599797664
0.7200000000000003,0.060960773928969425,-0.002208353789594084,5.993928248773867,6.279882692951702,4.598774341164059,0.0,-0.18953269869091127,-0.0077745929653027165,-9.13253405408924,0.000793843485113379,-25.641628558605113,0.0,800.5076773872239,-0.24725931389642167,799.7014366204771,800.3699308250747,6.830382476677919
0.7800000000000004,0.09421415030735182,-0.0026265519341949328,5.413463871632189,6.280166433703087,3.0602252397414524,0.0,1.053588384689627,-0.0052820519317921515,-10.494246256439215,0.01162209964059394,-25.64385946304693,0.0,800.4416119290426,-0.21590237413712854,799.7658700030229,800.2588272310251,6.832554906132329
0.8400000000000004,0.14296196668384745,-0.002829670450160374,4.7267736504426345,6.2812545884532955,1.5216265785305012,0.0,0.27989851686455264,-0.0019591084983775447,-12.27956267483808,0.028726827331286377,-25.642491426773393,0.0,800.3044506819416,-0.056145318919275156,799.5272885655905,800.3060751229915,6.834868961034572
0.9000000000000005,0.11394052647671875,-0.0029556028762702485,3.9816640757393,0.0002449921591534121,6.266345198250284,0.0,-1.0211187951314775,-0.0024522637389043666,-12.263453985220282,0.04817567194422002,-25.639044742483254,0.0,800.1409696236701,-0.14051608883593097,799.4948634461863,800.3811106781809,6.83770328253989
0.9600000000000005,0.06408303917150249,-0.003075088309609058,3.2648628903595602,0.003716727317769397,4.728129812510453,0.0,-0.3526438631478361,-0.001110762371747987,-11.711906286570292,0.07235523472627425,-25.63381268203685,0.0,799.9305021535405,-0.5642826105053531,799.2638525447346,800.3668311949677,6.840701514973862
1.0200000000000005,0.08931604765682986,-0.003188245219298054,2.5376769463499653,0.008379392969287025,3.1901602944291554,0.0,0.9833551791619223,-0.00456079186843719,-12.830825404460041,0.08671099281277816,-25.631224551696683,0.0,799.9260473853548,-0.642569379031097,799.3841898089572,800.0404943049974,6.843457980843332
1.0800000000000005,0.13993157274280166,-0.0038019926510816523,1.7137324533201643,0.014035479349918667,1.6525426482360785,0.0,0.4243521020418387,-0.016386349592607274,-14.59069336914523,0.10620747061510974,-25.621556895353827,0.0,799.4618410168182,-0.31096772316136856,799.3187210894647,800.2100258850622,6.846279076764715
1.1400000000000006,0.11838852696586229,-0.004752682195364348,0.8213487786902255,0.020733941249017285,0.1154228129764725,0.0,-0.9592463459796714,-0.00987204780881472,-14.83729886084152,0.12072437150415513,-25.614513976551198,0.0,799.2799106035661,-0.49735712663286347,799.441173629027,800.1089406158992,6.849587799222742
1.2000000000000006,0.06628617061858778,-0.00463209588842347,0.0,0.028208242278472184,4.861792328283094,0.0,-0.5129213506931698,0.014668336752621303,-14.358111506781713,0.1313224769910182,-25.612201716549016,0.0,799.333217093163,-0.6029180680911016,799.7995570209393,800.2914126535594,6.853060888251832
